Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
1,3,0.0,1,3,1,0,1,156,2018,10,31,1,0.0,0,0,122.63,2.0,1
2,2,,0,1,1,0,2,0,2018,1,14,1,1.0,11,4,81.9,0.0,2
3,2,0.0,0,4,1,0,2,19,2017,12,22,2,0.0,0,0,58.0,1.0,2
4,2,0.0,0,3,2,0,2,36,2017,10,13,2,0.0,0,0,112.0,0.0,2
5,2,0.0,2,3,1,0,2,16,2017,9,18,1,0.0,0,0,154.4,1.0,1
6,2,,0,1,1,0,1,2,2018,2,26,1,0.0,0,0,108.0,1.0,2
7,2,0.0,1,2,1,0,2,305,2018,11,4,2,0.0,0,0,89.0,,1
8,2,0.0,1,3,3,0,2,85,2018,4,28,1,0.0,0,0,102.43,0.0,1
9,2,0.0,0,2,1,0,2,186,2018,7,28,1,0.0,0,0,96.3,1.0,1
10,2,0.0,0,4,1,0,2,134,2018,7,12,1,0.0,0,0,89.85,2.0,2
11,2,0.0,0,1,3,0,2,0,2018,6,16,1,0.0,0,0,119.0,1.0,2
12,2,0.0,1,2,1,0,2,280,2018,9,19,1,,0,0,110.0,0.0,1
13,2,0.0,1,2,1,0,2,18,2018,7,11,1,0.0,0,0,110.46,1.0,2
14,1,0.0,0,2,1,0,1,68,2018,4,26,1,0.0,0,0,118.8,1.0,2
15,3,0.0,2,0,1,0,1,27,2018,4,24,1,0.0,0,0,153.0,2.0,2
16,1,0.0,0,2,1,1,2,1,2018,9,6,3,1.0,0,3,67.0,0.0,2
17,2,0.0,1,2,1,0,2,2,2017,8,21,1,0.0,0,0,100.67,2.0,2
18,1,0.0,0,3,3,0,2,63,2018,2,16,1,0.0,0,0,48.51,1.0,2
19,2,0.0,1,2,1,0,2,49,2018,3,7,1,0.0,0,0,78.3,0.0,1
20,2,0.0,0,4,1,0,1,183,2018,9,21,1,,0,0,102.1,,1
21,3,,1,4,1,0,1,142,2018,8,8,1,,0,0,138.55,1.0,2
22,2,0.0,1,0,1,0,2,6,2018,12,12,1,,0,0,108.0,1.0,2
23,2,0.0,1,2,3,0,2,70,2018,10,31,1,0.0,0,0,79.5,1.0,2
24,2,0.0,1,3,1,0,2,28,2018,9,5,1,0.0,0,0,116.25,1.0,2
25,2,0.0,1,2,1,0,2,141,2018,6,3,2,,0,0,132.0,0.0,2
26,2,0.0,0,3,1,0,2,73,2017,11,24,2,0.0,0,0,85.67,0.0,2
27,2,,0,3,1,0,2,6,2017,9,22,1,0.0,0,0,106.07,1.0,2
28,2,0.0,0,3,1,0,2,162,2017,9,17,2,0.0,0,0,70.0,0.0,2
29,2,0.0,0,2,2,0,2,102,2017,10,16,2,0.0,0,0,109.0,0.0,2
30,3,0.0,0,3,1,0,1,81,2018,9,7,1,0.0,0,0,168.3,0.0,1
31,2,0.0,1,1,2,0,1,9,2018,2,22,2,0.0,0,0,86.8,0.0,2
32,2,0.0,0,1,1,0,2,2,2018,4,21,1,0.0,0,0,101.0,1.0,2
33,2,0.0,2,0,1,0,2,91,2018,8,21,1,0.0,0,0,126.9,,2
34,2,0.0,0,3,1,0,3,20,2017,10,27,1,0.0,0,0,196.0,,2
35,2,0.0,0,2,1,0,2,21,2017,11,5,1,0.0,0,0,76.0,0.0,2
36,1,0.0,0,3,1,0,2,196,2018,7,20,1,0.0,0,0,85.5,0.0,1
37,2,0.0,0,2,1,0,2,22,2018,2,2,4,0.0,0,0,0.0,0.0,2
38,2,0.0,0,2,1,0,2,56,2018,11,11,1,0.0,0,0,97.2,0.0,2
39,2,0.0,0,3,3,0,2,35,2018,2,25,1,0.0,0,0,70.03,1.0,2
40,2,0.0,0,3,1,0,2,143,2018,8,25,2,0.0,0,0,100.0,0.0,2
41,2,,2,3,1,0,1,93,2017,12,27,2,0.0,0,0,60.0,0.0,2
42,2,0.0,1,2,1,0,4,381,2018,12,23,1,0.0,0,0,78.55,,1
43,2,0.0,0,5,1,0,2,221,2017,8,11,1,0.0,0,0,76.5,1.0,1
44,2,0.0,2,1,1,0,2,59,2017,12,27,2,0.0,0,0,112.0,0.0,2
45,1,0.0,0,1,1,0,2,0,2018,12,13,3,0.0,0,0,79.0,1.0,2
46,2,0.0,0,5,3,0,2,249,2018,12,27,2,0.0,0,0,120.55,0.0,2
47,2,0.0,0,5,3,0,2,104,2018,11,1,1,0.0,0,0,79.2,0.0,1
48,1,0.0,0,2,1,0,2,1,2018,3,15,4,0.0,0,0,55.0,0.0,2
49,1,0.0,0,2,2,0,2,265,2018,6,24,2,0.0,0,0,90.0,0.0,2
50,2,0.0,0,3,3,0,2,27,2018,3,22,1,0.0,0,0,129.0,0.0,1
51,2,0.0,0,3,1,0,1,137,2018,4,21,1,0.0,0,0,105.3,0.0,2
52,3,,2,3,1,0,1,110,2018,8,12,1,,0,0,159.3,,1
53,1,0.0,1,1,1,0,2,82,2018,5,2,2,0.0,0,0,80.0,1.0,2
54,2,0.0,1,2,3,0,2,47,2018,2,26,1,,0,0,72.5,0.0,2
55,2,0.0,0,2,1,0,2,29,2018,12,2,3,0.0,0,0,85.0,0.0,2
56,2,0.0,0,4,1,0,2,36,2018,12,28,1,0.0,0,0,168.73,0.0,2
57,2,,1,2,1,0,2,198,2018,9,9,1,0.0,0,0,90.0,0.0,1
58,2,0.0,1,1,2,0,2,247,2018,6,6,1,0.0,0,0,115.0,,1
59,2,0.0,2,3,1,0,2,170,2018,4,8,2,0.0,0,0,78.0,0.0,2
60,2,0.0,2,1,1,0,2,21,2018,6,12,1,0.0,0,0,94.35,1.0,2
61,2,0.0,1,3,3,0,2,5,2018,7,14,1,0.0,0,0,139.0,1.0,2
62,2,0.0,0,3,1,0,2,112,2018,11,24,1,0.0,0,0,90.0,1.0,2
63,2,0.0,2,3,1,0,2,207,2017,8,21,1,0.0,0,0,76.5,,2
64,2,0.0,0,2,1,0,2,301,2018,11,18,1,0.0,0,0,52.0,0.0,1
65,3,0.0,1,2,1,0,1,121,2018,11,4,1,0.0,0,0,122.4,1.0,1
66,2,2.0,1,2,1,0,3,130,2018,10,31,1,0.0,0,0,153.3,2.0,2
67,2,0.0,1,2,2,0,2,161,2018,3,25,2,0.0,0,0,130.0,0.0,1
68,1,0.0,0,2,2,0,2,377,2018,10,14,2,0.0,0,0,90.0,0.0,2
69,3,0.0,2,4,1,0,1,13,2018,12,2,1,0.0,0,0,131.89,,2
70,2,0.0,2,1,1,0,1,13,2018,9,4,1,,0,0,160.0,1.0,2
71,1,0.0,0,3,1,1,2,4,2018,1,28,1,0.0,0,0,95.0,1.0,2
72,2,0.0,0,3,1,0,2,63,2018,8,9,1,,0,0,144.1,0.0,2
73,3,0.0,2,5,1,0,1,160,2018,8,8,1,0.0,0,0,138.55,0.0,1
74,2,0.0,2,2,3,0,2,71,2018,4,22,1,0.0,0,0,87.13,0.0,1
75,2,0.0,0,2,3,0,2,72,2018,10,18,1,0.0,0,0,108.0,1.0,1
76,2,0.0,1,2,1,0,2,224,2017,10,2,2,0.0,0,0,65.0,0.0,2
77,2,0.0,0,3,1,0,2,14,2018,2,24,2,0.0,0,0,87.0,0.0,2
78,2,0.0,2,2,1,0,2,231,2018,8,21,1,0.0,0,0,90.95,1.0,2
79,2,0.0,0,4,1,0,1,46,2018,10,4,1,0.0,0,0,139.5,1.0,1
80,1,0.0,0,2,1,0,2,32,2017,11,20,2,0.0,0,0,73.0,0.0,2
81,2,0.0,1,1,1,0,1,3,2017,9,19,1,0.0,0,0,177.5,1.0,2
82,1,0.0,0,1,1,0,2,1,2017,12,15,3,1.0,0,2,75.0,0.0,2
83,2,0.0,2,0,1,0,2,30,2018,9,25,1,0.0,0,0,109.1,1.0,2
84,1,0.0,0,3,1,0,2,14,2017,9,15,1,0.0,0,0,114.0,,2
85,1,0.0,0,5,1,0,2,230,2018,9,6,1,0.0,0,0,111.0,0.0,1
86,1,0.0,2,1,3,0,2,24,2018,12,4,1,0.0,0,0,88.0,2.0,2
87,2,0.0,1,0,1,0,2,18,2018,12,11,2,0.0,0,0,80.0,0.0,2
88,2,0.0,0,1,3,0,2,126,2018,12,20,1,0.0,0,0,79.2,1.0,2
89,2,0.0,1,2,2,0,2,105,2017,10,12,1,0.0,0,0,110.0,0.0,1
90,2,0.0,2,2,1,0,2,208,2018,6,11,2,0.0,0,0,80.24,2.0,2
91,2,0.0,0,3,1,0,2,85,2018,12,8,2,0.0,0,0,75.0,0.0,2
92,2,0.0,2,4,1,0,2,224,2018,9,3,1,0.0,0,0,97.18,1.0,1
93,2,0.0,0,2,2,0,2,74,2017,9,18,2,0.0,0,0,109.0,0.0,2
94,2,0.0,1,2,1,0,2,10,2017,8,24,1,0.0,0,0,90.0,2.0,2
95,2,0.0,0,2,2,0,2,102,2017,10,16,2,0.0,0,0,109.0,0.0,2
96,1,0.0,1,0,1,0,2,13,2018,12,5,1,0.0,0,0,96.0,0.0,2
97,2,0.0,2,2,1,0,1,53,2017,11,14,2,0.0,0,0,60.0,0.0,2
98,2,,2,3,1,0,2,268,2018,4,8,2,0.0,0,0,78.0,0.0,2
99,2,,0,4,3,0,2,18,2018,2,24,1,0.0,0,0,79.0,1.0,1
100,1,0.0,1,0,3,0,2,1,2018,10,9,1,0.0,0,0,103.18,1.0,2
